family,species,stateProvince,decimalLatitude,decimalLongitude
Acanthaceae,Avicennia schaueriana,Espírito Santo,-19.942271,-40.141594
Acanthaceae,Avicennia schaueriana,Espírito Santo,-20.270017,-40.306922
Acanthaceae,Avicennia schaueriana,Rio de Janeiro,-22.720019,-43.187523
Acanthaceae,Avicennia schaueriana,Rio de Janeiro,-22.719998,-43.187519
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.448364,-48.526137
Acanthaceae,Avicennia schaueriana,Ceará,-2.82979,-40.557875
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.454721,-48.542534
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.315834,-48.83116
Acanthaceae,Avicennia schaueriana,Espírito Santo,-20.359367,-40.292637
Acanthaceae,Avicennia schaueriana,Rio de Janeiro,-22.886901,-42.026649
Acanthaceae,Avicennia schaueriana,Ceará,-3.412475,-39.055302
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.559727,-48.511221
Acanthaceae,Avicennia schaueriana,Espírito Santo,-19.939187,-40.261505
Acanthaceae,Avicennia schaueriana,Pernambuco,-8.250504,-34.940625
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.182255,-48.550381
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.973533,-48.633153
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.940122,-48.630039
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.971483,-48.633392
Acanthaceae,Avicennia schaueriana,Ceará,-3.828025,-38.4016
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.816929,-48.563893
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.437045,-48.499714
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.62887,-48.524506
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.540119,-48.458159
Acanthaceae,Avicennia schaueriana,Rio Grande do Norte,-4.958175,-37.137736
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.971613,-48.633225
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.008061,-48.610138
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.299318,-48.540119
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.772291,-48.657756
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.765593,-48.644096
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.551793,-48.61535
Acanthaceae,Avicennia schaueriana,Ceará,-3.77416,-38.435557
Acanthaceae,Avicennia schaueriana,Paraná,-25.652967,-48.439004
Acanthaceae,Avicennia schaueriana,Paraíba,-6.872058,-34.897276
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.772291,-48.657756
Acanthaceae,Avicennia schaueriana,São Paulo,-23.779237,-45.970096
Acanthaceae,Avicennia schaueriana,São Paulo,-23.75817,-45.351197
Acanthaceae,Avicennia schaueriana,Rio de Janeiro,-22.988311,-43.662321
Acanthaceae,Avicennia schaueriana,Espírito Santo,-20.193334,-40.198398
Acanthaceae,Avicennia schaueriana,Espírito Santo,-20.102468,-40.179818
Acanthaceae,Avicennia schaueriana,Santa Catarina,-28.456929,-48.803878
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.974788,-48.634871
Acanthaceae,Avicennia schaueriana,Santa Catarina,-28.40435,-48.885472
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.970867,-48.629429
Acanthaceae,Avicennia schaueriana,NA,-25.067814,-47.918636
Acanthaceae,Avicennia schaueriana,Santa Catarina,-28.498101,-48.761996
Acanthaceae,Avicennia schaueriana,Rio de Janeiro,-22.980675,-43.673278
Acanthaceae,Avicennia schaueriana,Ceará,-4.694062,-37.357215
Acanthaceae,Avicennia schaueriana,Ceará,-4.694062,-37.357215
Acanthaceae,Avicennia schaueriana,Ceará,-4.694062,-37.357215
Acanthaceae,Avicennia schaueriana,Ceará,-4.694062,-37.357215
Acanthaceae,Avicennia schaueriana,Ceará,-4.694062,-37.357215
Acanthaceae,Avicennia schaueriana,Santa Catarina,-28.498138,-48.762259
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.576974,-48.518849
Acanthaceae,Avicennia schaueriana,Santa Catarina,-27.603954,-48.619267
Acanthaceae,Avicennia schaueriana,Rio de Janeiro,-22.99857,-43.654349
Acanthaceae,Avicennia schaueriana,Bahia,-11.747097,-37.519245
Acanthaceae,Avicennia schaueriana,Pernambuco,-8.330504,-34.950749
Acanthaceae,Avicennia schaueriana,Pernambuco,-8.373097,-34.964914
Acanthaceae,Avicennia schaueriana,Pernambuco,-8.330504,-34.950749
Acanthaceae,Avicennia schaueriana,Pernambuco,-8.330504,-34.950749
Acanthaceae,Avicennia schaueriana,Pernambuco,-8.250504,-34.940625
Acanthaceae,Avicennia schaueriana,Pernambuco,-8.330504,-34.950749
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.825038,-48.620246
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.804342,-48.597354
Acanthaceae,Avicennia schaueriana,Santa Catarina,-26.775055,-48.600862
Acanthaceae,Avicennia schaueriana,Rio de Janeiro,-23.217921,-44.711137
Acanthaceae,Avicennia schaueriana,NA,-4.44888,-37.78628
Acanthaceae,Avicennia schaueriana,NA,-4.44888,-37.78628
Acanthaceae,Avicennia schaueriana,NA,-4.44888,-37.78628
Acanthaceae,Avicennia schaueriana,NA,-4.44888,-37.78628
Acanthaceae,Avicennia schaueriana,São Paulo,-24.939993,-47.853184
Combretaceae,Laguncularia racemosa,Rio Grande do Norte,-5.678212,-35.219991
Combretaceae,Laguncularia racemosa,São Paulo,-24.700819,-47.455935
Combretaceae,Laguncularia racemosa,Rio Grande do Norte,-5.678212,-35.219991
Combretaceae,Laguncularia racemosa,Pernambuco,-8.067429,-34.875312
Combretaceae,Laguncularia racemosa,Pernambuco,-8.609755,-35.023239
Combretaceae,Laguncularia racemosa,São Paulo,-23.819779,-45.375775
Combretaceae,Laguncularia racemosa,Ceará,-3.544805,-38.814058
Combretaceae,Laguncularia racemosa,Pernambuco,-8.053202,-34.875469
Combretaceae,Laguncularia racemosa,Santa Catarina,-27.57728,-48.517347
Combretaceae,Laguncularia racemosa,São Paulo,-23.819985,-45.375633
Combretaceae,Laguncularia racemosa,São Paulo,-23.81983,-45.37579
Combretaceae,Laguncularia racemosa,Bahia,-12.81636,-38.642834
Combretaceae,Laguncularia racemosa,Rio Grande do Norte,-6.056282,-35.101286
Combretaceae,Laguncularia racemosa,Ceará,-3.74835,-38.486927
Combretaceae,Laguncularia racemosa,São Paulo,-23.932108,-46.404812
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.093789,-41.137373
Combretaceae,Laguncularia racemosa,Ceará,-4.697463,-37.353424
Combretaceae,Laguncularia racemosa,Bahia,-12.70682,-38.143784
Combretaceae,Laguncularia racemosa,Ceará,-4.547304,-37.774966
Combretaceae,Laguncularia racemosa,Ceará,-4.691769,-37.360861
Combretaceae,Laguncularia racemosa,Rio Grande do Norte,-6.055216,-35.098719
Combretaceae,Laguncularia racemosa,Ceará,-4.697482,-37.353431
Combretaceae,Laguncularia racemosa,Ceará,-4.693177,-37.35661
Combretaceae,Laguncularia racemosa,Paraíba,-7.145591,-34.803512
Combretaceae,Laguncularia racemosa,Ceará,-4.697668,-37.353381
Combretaceae,Laguncularia racemosa,Espírito Santo,-18.955095,-39.743518
Combretaceae,Laguncularia racemosa,Santa Catarina,-26.236847,-48.516968
Combretaceae,Laguncularia racemosa,Ceará,-2.807633,-40.524142
Combretaceae,Laguncularia racemosa,Alagoas,-9.976262,-35.983734
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.948443,-43.089363
Combretaceae,Laguncularia racemosa,Pernambuco,-8.542788,-35.005942
Combretaceae,Laguncularia racemosa,Pará,-0.820743,-46.612497
Combretaceae,Laguncularia racemosa,São Paulo,-23.819764,-45.375789
Combretaceae,Laguncularia racemosa,São Paulo,-24.890422,-47.800836
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.280062,-40.30733
Combretaceae,Laguncularia racemosa,Pernambuco,-8.04778,-34.903613
Combretaceae,Laguncularia racemosa,Ceará,-3.828086,-38.402464
Combretaceae,Laguncularia racemosa,Bahia,-12.702151,-38.947746
Combretaceae,Laguncularia racemosa,Espírito Santo,-19.930979,-40.265688
Combretaceae,Laguncularia racemosa,Ceará,-3.410886,-39.080444
Combretaceae,Laguncularia racemosa,Alagoas,-10.047738,-36.028626
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.271272,-40.254187
Combretaceae,Laguncularia racemosa,Alagoas,-9.970544,-35.979625
Combretaceae,Laguncularia racemosa,Rio Grande do Norte,-5.756249,-35.197134
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.265063,-40.260433
Combretaceae,Laguncularia racemosa,Maranhão,-2.764786,-41.840461
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-23.227942,-44.712602
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.277001,-40.307539
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.269533,-40.307163
Combretaceae,Laguncularia racemosa,Bahia,-11.79966,-37.540639
Combretaceae,Laguncularia racemosa,São Paulo,-23.784761,-45.976077
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.27655,-40.307128
Combretaceae,Laguncularia racemosa,Alagoas,-9.969422,-35.978514
Combretaceae,Laguncularia racemosa,São Paulo,-23.815048,-45.407204
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.881609,-42.004855
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.729347,-40.520944
Combretaceae,Laguncularia racemosa,Espírito Santo,-20.277112,-40.307475
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.721611,-43.189677
Combretaceae,Laguncularia racemosa,Pará,-0.942056,-46.819411
Combretaceae,Laguncularia racemosa,Ceará,-3.750562,-38.485008
Combretaceae,Laguncularia racemosa,Santa Catarina,-27.471421,-48.492278
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-22.982332,-43.672017
Combretaceae,Laguncularia racemosa,Rio de Janeiro,-23.218828,-44.709703
Combretaceae,Laguncularia racemosa,Pernambuco,-8.682119,-35.102758
Combretaceae,Laguncularia racemosa,Bahia,-12.503518,-37.961789
Combretaceae,Laguncularia racemosa,NA,-4.100892,-38.152023
Combretaceae,Laguncularia racemosa,NA,-22.979647,-43.204306
Combretaceae,Laguncularia racemosa,NA,-8.057754,-34.900013
Combretaceae,Laguncularia racemosa,NA,-10.9574,-37.06352
Combretaceae,Laguncularia racemosa,NA,-10.95097,-37.084428
Combretaceae,Laguncularia racemosa,NA,-1.01214,-46.63925
Combretaceae,Laguncularia racemosa,NA,-22.974205,-43.205539
Combretaceae,Laguncularia racemosa,NA,-22.974276,-43.202549
Combretaceae,Laguncularia racemosa,NA,-17.741342,-39.219882
Combretaceae,Laguncularia racemosa,NA,-25.429939,-48.709453
Combretaceae,Laguncularia racemosa,NA,-22.972653,-43.216237
Combretaceae,Laguncularia racemosa,NA,-22.966007,-43.21645
Combretaceae,Laguncularia racemosa,NA,-25.429939,-48.709453
Combretaceae,Laguncularia racemosa,NA,-27.493722000000002,-48.653389
Combretaceae,Laguncularia racemosa,Santa Catarina,-27.471421,-48.492278
Combretaceae,Laguncularia racemosa,Pernambuco,-8.68226,-35.102715
Combretaceae,Laguncularia racemosa,Pernambuco,-8.682225,-35.102635
Combretaceae,Laguncularia racemosa,Pernambuco,-8.682018,-35.10264
Combretaceae,Laguncularia racemosa,Pernambuco,-8.68203,-35.102652
Combretaceae,Laguncularia racemosa,Pernambuco,-8.682353,-35.102585
Combretaceae,Laguncularia racemosa,Pernambuco,-8.682098,-35.102746
Combretaceae,Laguncularia racemosa,Pernambuco,-8.682245,-35.102671
Combretaceae,Laguncularia racemosa,Paraná,-25.341033,-48.300128
Combretaceae,Laguncularia racemosa,Santa Catarina,-26.315833,-48.831172
Combretaceae,Laguncularia racemosa,Pará,-1.049913,-46.751444
Combretaceae,Laguncularia racemosa,Paraná,-25.84273,-48.537641
Combretaceae,Laguncularia racemosa,Alagoas,-9.285358,-35.387095
